,date,Delhi,Uttar Pradesh,Maharashtra,Rajasthan,Bengal
149,2016-10-21,17,9,6,3,11
150,2016-10-22,7,5,34,1,4
151,2016-10-23,4,0,2,0,4
152,2016-10-24,0,1,3,1,0
153,2016-10-25,4,6,23,4,11
154,2016-10-26,4,2,24,10,6
155,2016-10-27,7,15,15,1,4
156,2016-10-28,13,3,12,4,0
157,2016-10-29,12,6,8,3,2
158,2016-10-30,5,1,4,0,0
160,2016-11-01,9,3,1,1,1
161,2016-11-02,4,2,1,2,0
162,2016-11-03,7,4,34,19,5
163,2016-11-04,12,11,10,21,3
164,2016-11-05,11,1,18,2,6
165,2016-11-06,1,0,52,0,0
166,2016-11-07,3,2,8,5,0
167,2016-11-08,2,8,9,2,3
168,2016-11-09,11,2,4,0,12
169,2016-11-10,3,1,4,1,1
170,2016-11-11,1,2,34,15,16
171,2016-11-12,7,4,15,0,7
172,2016-11-13,1,1,14,0,2
173,2016-11-14,1,0,4,0,1
174,2016-11-15,0,4,1,1,33
175,2016-11-16,18,2,27,1,14
176,2016-11-17,29,8,6,7,6
177,2016-11-18,5,5,1,4,3
178,2016-11-19,5,8,3,4,11
179,2016-11-20,1,4,8,0,1
180,2016-11-21,1,12,3,3,0
181,2016-11-22,5,11,0,5,14
182,2016-11-23,4,8,8,1,6
183,2016-11-24,8,7,14,2,0
184,2016-11-25,5,1,12,13,5
185,2016-11-26,11,5,28,4,6
186,2016-11-27,4,2,2,4,0
187,2016-11-28,0,0,2,0,1
188,2016-11-29,10,4,1,2,3
189,2016-11-30,3,3,7,6,1
190,2016-12-01,15,7,12,6,6
191,2016-12-02,3,3,11,3,6
192,2016-12-03,4,7,10,4,3
193,2016-12-04,2,1,5,2,0
194,2016-12-05,0,12,0,26,0
195,2016-12-06,30,7,11,3,4
196,2016-12-07,12,7,10,4,3
197,2016-12-08,6,2,14,2,7
198,2016-12-09,0,6,4,1,3
199,2016-12-10,2,10,10,0,6
200,2016-12-11,4,3,2,3,1
201,2016-12-12,0,1,1,0,0
202,2016-12-13,17,25,2,12,3
203,2016-12-14,1,2,4,2,1
204,2016-12-15,13,2,2,4,4
205,2016-12-16,2,3,22,2,2
206,2016-12-17,11,0,10,19,4
207,2016-12-18,5,8,3,3,1
209,2016-12-20,1,5,14,22,2
210,2016-12-21,12,3,9,6,6
211,2016-12-22,10,5,5,15,1
212,2016-12-23,25,5,15,3,5
213,2016-12-24,17,2,13,1,13
214,2016-12-25,0,7,1,0,2
215,2016-12-26,0,0,5,1,0
216,2016-12-27,15,3,20,4,3
217,2016-12-28,1,8,4,8,6
218,2016-12-29,7,4,17,3,3
219,2016-12-30,5,6,10,2,5
220,2016-12-31,11,0,7,0,11
221,2017-01-01,2,6,2,0,0
222,2017-01-02,1,0,0,0,0
223,2017-01-03,9,2,12,0,1
224,2017-01-04,0,1,0,1,4
225,2017-01-05,0,0,0,1,0
226,2017-01-06,0,1,2,0,1
227,2017-01-07,0,0,1,0,0
228,2017-01-08,0,0,9,23,0
229,2017-01-09,0,2,0,0,0
230,2017-01-10,0,3,2,0,7
231,2017-01-11,0,4,7,0,0
232,2017-01-12,0,0,0,1,0
233,2017-01-13,1,12,1,0,1
235,2017-01-15,0,0,2,0,1
236,2017-01-16,1,3,0,0,0
237,2017-01-17,1,2,0,0,0
238,2017-01-18,1,0,1,1,0
239,2017-01-19,0,1,1,1,0
240,2017-01-20,0,0,1,1,0
242,2017-01-22,0,0,0,1,0
243,2017-01-23,1,0,4,8,0
244,2017-01-24,0,0,1,0,0
245,2017-01-25,0,1,1,0,2
246,2017-01-26,0,0,1,0,0
247,2017-01-27,0,0,1,2,0
253,2017-02-02,1,0,0,0,0
254,2017-02-03,1,0,0,0,0
255,2017-02-04,13,0,0,0,0
257,2017-02-06,8,1,1,0,0
258,2017-02-07,0,0,1,1,1
259,2017-02-08,0,0,4,0,0
260,2017-02-09,0,5,0,1,0
261,2017-02-10,2,0,0,2,2
262,2017-02-11,9,7,12,8,3
263,2017-02-12,0,1,3,0,1
264,2017-02-13,14,0,1,0,0
265,2017-02-14,12,9,1,12,15
266,2017-02-15,4,10,18,4,3
267,2017-02-16,14,1,9,2,5
268,2017-02-17,8,5,4,11,1
269,2017-02-18,18,9,24,0,3
270,2017-02-19,2,17,1,6,0
271,2017-02-20,0,0,1,0,2
272,2017-02-21,9,14,13,2,17
273,2017-02-22,35,8,8,6,5
274,2017-02-23,8,3,5,7,1
275,2017-02-24,8,7,1,3,8
276,2017-02-25,2,1,4,0,2
277,2017-02-26,6,2,1,1,0
278,2017-02-27,0,1,0,1,0
279,2017-02-28,9,5,24,8,15
280,2017-03-01,20,14,15,17,2
281,2017-03-02,9,3,7,8,2
282,2017-03-03,21,3,7,3,4
283,2017-03-04,4,5,13,5,4
284,2017-03-05,0,9,3,0,1
285,2017-03-06,0,0,1,1,0
286,2017-03-07,1,7,10,13,2
287,2017-03-08,2,8,8,43,3
288,2017-03-09,4,3,1,7,4
289,2017-03-10,5,6,4,3,0
290,2017-03-11,23,8,11,13,1
291,2017-03-12,4,1,4,0,0
292,2017-03-13,1,1,1,1,1
293,2017-03-14,2,1,9,30,1
294,2017-03-15,13,10,19,4,3
295,2017-03-16,13,2,17,3,3
296,2017-03-17,4,17,9,8,4
297,2017-03-18,10,7,2,17,2
298,2017-03-19,2,1,11,1,0
299,2017-03-20,0,4,0,0,0
300,2017-03-21,16,2,17,5,2
301,2017-03-22,10,5,18,2,1
302,2017-03-23,3,0,11,3,2
303,2017-03-24,4,2,10,9,1
304,2017-03-25,13,13,5,4,4
305,2017-03-26,17,5,12,5,1
306,2017-03-27,0,8,1,2,0
307,2017-03-28,5,8,13,4,3
308,2017-03-29,11,6,9,7,6
309,2017-03-30,15,3,12,5,1
310,2017-03-31,4,3,10,2,9
311,2017-04-01,7,4,6,2,3
312,2017-04-02,0,2,2,1,0
313,2017-04-03,0,1,0,7,0
314,2017-04-04,6,2,10,0,1
315,2017-04-05,5,1,1,0,1
316,2017-04-06,7,6,13,3,2
317,2017-04-07,13,5,16,2,2
318,2017-04-08,1,2,8,6,6
319,2017-04-09,1,3,1,5,1
320,2017-04-10,2,1,2,0,14
321,2017-04-11,9,0,9,10,1
322,2017-04-12,14,1,16,4,5
323,2017-04-13,9,5,9,1,3
324,2017-04-14,3,4,13,5,11
325,2017-04-15,2,6,1,0,1
326,2017-04-16,2,0,16,2,0
328,2017-04-18,15,4,3,6,7
329,2017-04-19,5,4,2,7,6
330,2017-04-20,5,2,8,5,2
331,2017-04-21,6,4,5,6,5
332,2017-04-22,1,2,6,4,3
333,2017-04-23,1,12,0,3,0
