,date,Delhi,Uttar Pradesh,Maharashtra,Rajasthan,Bengal
1182,2019-08-20,9,19,14,6,8
1183,2019-08-21,12,7,13,4,6
1184,2019-08-22,10,13,13,5,7
1185,2019-08-23,11,2,5,0,3
1186,2019-08-24,3,10,22,2,5
1187,2019-08-25,2,11,3,0,8
1189,2019-08-27,6,11,11,4,11
1190,2019-08-28,8,9,15,6,17
1191,2019-08-29,6,9,15,5,9
1192,2019-08-30,14,5,9,12,4
1193,2019-08-31,5,13,14,4,13
1194,2019-09-01,5,13,15,0,4
1195,2019-09-02,1,0,0,0,0
1196,2019-09-03,5,12,7,4,8
1197,2019-09-04,9,7,14,4,1
1198,2019-09-05,9,6,13,6,4
1199,2019-09-06,14,4,11,1,10
1200,2019-09-07,7,8,15,4,5
1201,2019-09-08,0,1,4,0,1
1205,2019-09-12,0,0,2,0,0
1206,2019-09-13,7,8,4,1,19
1207,2019-09-14,12,10,24,5,15
1208,2019-09-15,3,4,7,0,13
1209,2019-09-16,0,0,1,0,0
1210,2019-09-17,11,5,23,11,3
1211,2019-09-18,8,7,8,2,2
1212,2019-09-19,15,1,9,11,7
1213,2019-09-20,7,4,16,8,6
1214,2019-09-21,8,6,7,2,9
1215,2019-09-22,5,3,5,1,22
1217,2019-09-24,7,45,13,10,14
1218,2019-09-25,11,23,26,7,7
1219,2019-09-26,4,22,21,1,15
1220,2019-09-27,3,23,7,5,6
1221,2019-09-28,12,45,26,4,13
1222,2019-09-29,1,18,3,3,6
1224,2019-10-01,16,73,18,20,19
1225,2019-10-02,4,9,13,9,7
1226,2019-10-03,6,1,0,1,0
1227,2019-10-04,8,12,28,4,15
1228,2019-10-05,7,12,15,5,16
1229,2019-10-06,11,18,3,1,1
1231,2019-10-08,5,14,5,5,0
1232,2019-10-09,2,4,14,1,0
1233,2019-10-10,6,10,13,3,3
1234,2019-10-11,10,19,16,5,3
1235,2019-10-12,7,5,8,4,14
1236,2019-10-13,6,8,8,1,3
1237,2019-10-14,1,0,8,0,0
1238,2019-10-15,16,18,12,7,4
1239,2019-10-16,10,21,11,7,2
1240,2019-10-17,5,71,5,3,10
1241,2019-10-18,3,21,13,3,10
1242,2019-10-19,4,2,13,1,7
1243,2019-10-20,3,4,5,29,6
1244,2019-10-21,2,0,0,0,0
1245,2019-10-22,15,22,23,14,10
1246,2019-10-23,9,3,15,7,11
1247,2019-10-24,13,12,34,18,13
1248,2019-10-25,5,9,16,9,4
1249,2019-10-26,7,7,5,2,11
1250,2019-10-27,3,1,2,1,3
1252,2019-10-29,10,2,3,0,4
1253,2019-10-30,10,4,2,2,4
1254,2019-10-31,7,43,17,12,6
1255,2019-11-01,8,19,10,9,10
1256,2019-11-02,13,3,6,0,3
1257,2019-11-03,6,3,3,4,3
1259,2019-11-05,22,9,17,4,11
1260,2019-11-06,10,28,11,8,9
1261,2019-11-07,18,5,5,4,4
1262,2019-11-08,18,5,10,6,10
1263,2019-11-09,19,17,12,1,14
1264,2019-11-10,3,3,0,0,1
1266,2019-11-12,11,15,12,7,9
1267,2019-11-13,13,5,2,1,8
1268,2019-11-14,11,26,11,5,12
1269,2019-11-15,15,13,19,9,8
1270,2019-11-16,9,2,11,19,8
1271,2019-11-17,7,4,6,0,0
1273,2019-11-19,7,3,6,3,10
1274,2019-11-20,9,5,3,2,5
1275,2019-11-21,10,9,14,22,10
1276,2019-11-22,12,13,5,3,9
1277,2019-11-23,14,5,13,3,7
1278,2019-11-24,4,4,6,1,5
1280,2019-11-26,12,11,21,16,23
1281,2019-11-27,13,32,10,3,11
1282,2019-11-28,10,16,6,9,9
1283,2019-11-29,10,31,17,12,18
1284,2019-11-30,2,25,13,16,11
1285,2019-12-01,9,4,11,0,4
1287,2019-12-03,7,22,10,9,13
1288,2019-12-04,7,27,7,6,3
1289,2019-12-05,1,0,16,2,12
1290,2019-12-06,14,70,12,4,15
1291,2019-12-07,8,8,14,0,5
1292,2019-12-08,0,1,15,0,13
1294,2019-12-10,9,10,7,10,15
1295,2019-12-11,11,6,13,8,5
1296,2019-12-12,6,12,7,1,9
1297,2019-12-13,7,17,6,8,5
1298,2019-12-14,7,14,8,9,15
1299,2019-12-15,11,4,6,3,6
1300,2019-12-16,1,1,1,0,0
1301,2019-12-17,33,29,25,15,23
1302,2019-12-18,9,44,18,9,9
1303,2019-12-19,10,13,12,8,2
1304,2019-12-20,8,10,25,12,7
1305,2019-12-21,7,27,19,6,6
1306,2019-12-22,1,9,8,12,2
1307,2019-12-23,2,0,0,0,0
1308,2019-12-24,17,24,20,11,7
1309,2019-12-25,8,3,22,9,3
1310,2019-12-26,0,0,3,0,5
1311,2019-12-27,17,19,19,34,21
1312,2019-12-28,11,57,10,8,19
1313,2019-12-29,10,7,7,15,8
1314,2019-12-30,0,0,0,2,0
1315,2019-12-31,20,20,14,16,8
1316,2020-01-01,10,108,11,9,20
1476,2020-06-09,3,3,3,1,4
1477,2020-06-10,18,8,7,8,7
1478,2020-06-11,9,6,10,5,8
1479,2020-06-12,22,16,6,3,17
1480,2020-06-13,7,26,8,6,11
1481,2020-06-14,7,3,9,1,13
1483,2020-06-16,37,14,21,14,7
1484,2020-06-17,15,15,9,7,8
1485,2020-06-18,2,4,8,4,3
1486,2020-06-19,13,8,5,4,4
1487,2020-06-20,15,16,11,15,4
1488,2020-06-21,5,3,9,4,2
1489,2020-06-22,0,1,1,0,0
1490,2020-06-23,17,8,12,18,2
1491,2020-06-24,9,5,13,20,14
1492,2020-06-25,2,8,8,13,3
1493,2020-06-26,11,9,6,8,7
1494,2020-06-27,6,6,13,25,12
1495,2020-06-28,1,5,7,3,1
1496,2020-06-29,0,0,0,4,0
1497,2020-06-30,10,10,17,43,11
1498,2020-07-01,7,6,15,11,13
1499,2020-07-02,12,3,10,21,6
1500,2020-07-03,2,3,6,9,5
1501,2020-07-04,6,11,14,26,9
1502,2020-07-05,4,11,6,10,1
1503,2020-07-06,0,0,1,0,0
1504,2020-07-07,8,1,11,33,9
1505,2020-07-08,9,10,11,1,7
1506,2020-07-09,10,12,14,39,7
1507,2020-07-10,16,11,1,4,11
1508,2020-07-11,13,11,4,15,12
1509,2020-07-12,4,1,5,2,10
1510,2020-07-13,0,1,0,0,0
1511,2020-07-14,17,17,17,31,6
1512,2020-07-15,10,11,7,13,5
1513,2020-07-16,11,11,15,1,7
1514,2020-07-17,9,3,2,5,5
1515,2020-07-18,6,1,11,1,16
1516,2020-07-19,3,6,7,5,1
1517,2020-07-20,0,1,0,0,0
1518,2020-07-21,16,13,16,11,17
1519,2020-07-22,12,7,2,18,22
1520,2020-07-23,4,9,16,12,1
1521,2020-07-24,10,3,9,23,5
1522,2020-07-25,0,1,11,11,8
1523,2020-07-26,2,4,5,4,11
1525,2020-07-28,26,1,25,11,12
1526,2020-07-29,9,5,8,1,3
1527,2020-07-30,2,2,1,4,3
1528,2020-07-31,9,10,3,22,1
1529,2020-08-01,12,13,17,2,4
1530,2020-08-02,3,4,6,1,9
1532,2020-08-04,10,11,11,7,17
1533,2020-08-05,10,6,9,9,7
1534,2020-08-06,1,6,15,20,17
1535,2020-08-07,2,1,17,10,1
1536,2020-08-08,4,19,1,13,5
1537,2020-08-09,3,18,1,0,1
1538,2020-08-10,0,0,0,12,5
1539,2020-08-11,3,10,1,5,9
1540,2020-08-12,6,2,10,12,3
1541,2020-08-13,0,5,7,0,7
1542,2020-08-14,7,11,23,1,10
1543,2020-08-15,1,12,1,1,3
1544,2020-08-16,0,2,6,1,0
1545,2020-08-17,1,0,0,0,0
1546,2020-08-18,12,26,1,17,15
1547,2020-08-19,14,12,10,1,3
1548,2020-08-20,2,15,5,22,6
1549,2020-08-21,5,10,8,5,2
1550,2020-08-22,14,15,12,7,4
1551,2020-08-23,1,1,4,2,0
1552,2020-08-24,0,2,1,1,0
1553,2020-08-25,14,1,16,10,8
1554,2020-08-26,10,4,12,7,13
1555,2020-08-27,2,5,1,5,1
1556,2020-08-28,6,5,8,10,8
1557,2020-08-29,0,14,12,1,4
1558,2020-08-30,4,9,23,4,2
1559,2020-08-31,0,0,1,0,0
1560,2020-09-01,5,16,13,11,3
1561,2020-09-02,6,7,9,4,3
1562,2020-09-03,2,9,14,5,2
1563,2020-09-04,7,7,20,2,3
1564,2020-09-05,8,7,10,2,2
1565,2020-09-06,13,2,11,1,5
1567,2020-09-08,12,1,13,29,11
1568,2020-09-09,1,1,7,4,5
1569,2020-09-10,3,4,8,5,4
1570,2020-09-11,5,7,12,5,9
1571,2020-09-12,3,5,1,2,5
1572,2020-09-13,1,12,16,1,16
1573,2020-09-14,0,0,0,1,0
1574,2020-09-15,7,5,13,17,3
1575,2020-09-16,9,1,1,11,2
1576,2020-09-17,5,10,12,2,2
1577,2020-09-18,6,4,28,1,5
1578,2020-09-19,3,1,10,11,4
1579,2020-09-20,4,16,3,2,4
1580,2020-09-21,0,1,1,0,1
1581,2020-09-22,21,14,20,18,15
1582,2020-09-23,1,1,7,9,5
1583,2020-09-24,5,2,18,1,2
1584,2020-09-25,4,2,5,10,10
1585,2020-09-26,10,46,6,16,4
1586,2020-09-27,1,5,5,3,1
1587,2020-09-28,0,19,0,3,0
1588,2020-09-29,10,16,21,56,4
1589,2020-09-30,7,14,12,12,4
1590,2020-10-01,15,10,14,4,14
1591,2020-10-02,5,6,14,10,10
1592,2020-10-03,1,3,1,4,2
1593,2020-10-04,1,17,7,5,2
1594,2020-10-05,0,1,4,0,0
1595,2020-10-06,14,16,5,1,1
1596,2020-10-07,12,13,15,7,4
1597,2020-10-08,1,7,27,2,8
1598,2020-10-09,3,1,11,2,25
1599,2020-10-10,7,1,28,0,9
1600,2020-10-11,9,9,4,1,1
1601,2020-10-12,6,0,0,0,0
1602,2020-10-13,5,21,13,19,6
1603,2020-10-14,8,1,11,5,4
1604,2020-10-15,8,1,12,4,6
1605,2020-10-16,2,8,2,10,15
1606,2020-10-17,7,1,10,2,5
1607,2020-10-18,3,6,2,1,4
1608,2020-10-19,0,0,0,1,0
1609,2020-10-20,10,7,1,33,7
1610,2020-10-21,1,18,14,9,8
1611,2020-10-22,10,11,11,1,1
1612,2020-10-23,2,10,5,6,3
1613,2020-10-24,7,7,14,27,8
1614,2020-10-25,0,6,1,23,16
1615,2020-10-26,0,0,2,8,1
1616,2020-10-27,14,1,2,13,1
1617,2020-10-28,19,11,8,22,2
1618,2020-10-29,3,20,10,3,4
1619,2020-10-30,10,5,15,10,6
1620,2020-10-31,2,8,7,13,1
1621,2020-11-01,2,29,5,5,0
1622,2020-11-02,0,0,1,0,0
1623,2020-11-03,14,1,21,13,1
1624,2020-11-04,5,11,7,24,4
1625,2020-11-05,4,8,8,1,14
1626,2020-11-06,1,1,12,6,1
1627,2020-11-07,2,6,15,3,12
1628,2020-11-08,1,6,5,1,3
1629,2020-11-09,0,0,0,0,5
1630,2020-11-10,4,7,8,17,9
1631,2020-11-11,5,1,17,7,1
1632,2020-11-12,5,2,8,3,2
1633,2020-11-13,3,2,17,4,2
1634,2020-11-14,27,2,7,7,32
1635,2020-11-15,3,6,8,1,1
1637,2020-11-17,8,10,5,3,31
1638,2020-11-18,3,6,2,15,5
1639,2020-11-19,14,1,10,9,6
1640,2020-11-20,4,1,11,9,1
1641,2020-11-21,11,5,11,3,2
1642,2020-11-22,2,1,1,2,0
1643,2020-11-23,0,0,1,1,1
1644,2020-11-24,11,12,1,8,1
